,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,benguela,100,AO,1609199500,78,-12.58,13.41,75.74,4.52
1,port alfred,100,CD,1609199453,77,-7.03,29.76,73.0,6.06
2,cape town,0,CL,1609199446,39,-36.41,-71.9,78.8,12.75
3,yellowknife,90,CA,1609199014,84,62.46,-114.35,1.99,6.93
4,torbay,20,CA,1609199446,86,47.67,-52.73,26.6,2.24
5,albany,82,US,1609199436,69,42.6,-73.97,41.0,5.99
6,saint-augustin,83,CA,1609199501,92,51.23,-58.65,28.56,9.93
7,hobart,20,AU,1609199171,45,-42.88,147.33,68.0,16.11
8,hermanus,70,ZA,1609199446,81,-34.42,19.23,64.99,2.59
9,slyudyanka,96,RU,1609199501,80,51.66,103.71,-10.34,5.61
10,cabo san lucas,40,BR,1609199454,61,-8.28,-35.03,78.8,14.99
11,mahebourg,75,MU,1609199452,78,-20.41,57.7,77.0,8.05
12,morant bay,40,JM,1609199502,74,17.9,-76.43,82.4,13.87
13,busselton,92,AU,1609199442,55,-33.65,115.33,70.0,5.01
14,kodiak,40,US,1609199446,85,57.79,-152.41,39.2,11.41
15,broome,90,US,1609199458,74,42.25,-75.83,37.0,8.05
16,lakselv,99,NO,1609199502,74,70.05,24.97,28.4,53.02
17,butaritari,53,KI,1609199441,79,3.07,172.79,81.37,21.36
18,ushuaia,75,AR,1609199442,81,-54.8,-68.3,50.0,4.7
19,itum-kale,49,RU,1609199502,52,42.74,45.58,43.27,6.17
20,portland,20,US,1609199369,70,45.52,-122.68,46.0,8.05
21,bluff,88,NZ,1609199449,60,-46.6,168.33,70.0,5.01
22,punta arenas,47,PH,1609199440,74,8.99,125.34,79.59,2.86
23,zyryanka,71,RU,1609199503,80,65.75,150.85,-31.88,7.25
24,bambous virieux,75,MU,1609199454,78,-20.26,57.41,77.0,8.05
25,atuona,53,PF,1609199444,72,-9.8,-139.03,78.76,15.28
26,rikitea,100,PF,1609199448,78,-23.12,-134.97,78.58,17.43
27,alofi,75,NU,1609199415,83,-19.06,-169.92,80.6,5.82
28,malumfashi,0,NG,1609199503,28,11.79,7.62,64.44,7.63
29,noshiro,75,JP,1609199503,97,40.2,140.02,32.0,3.36
30,faanui,8,PF,1609199474,68,-16.48,-151.75,81.0,7.52
31,shitanjing,25,CN,1609199504,78,39.23,106.34,-0.54,3.67
32,amboise,90,FR,1609199504,86,47.41,0.98,41.0,13.87
33,san cristobal,0,ML,1609199374,20,13.3,-4.9,71.62,7.85
34,nikolskoye,0,RU,1609199448,79,59.7,30.79,27.0,15.66
35,cidreira,74,BR,1609199464,82,-30.18,-50.21,73.38,15.37
36,sao filipe,0,IN,1609199446,53,20.51,76.21,57.11,2.59
37,tomatlan,0,MX,1609199504,69,19.93,-105.25,73.24,3.51
38,berlevag,100,NO,1609199448,94,70.86,29.09,25.56,20.18
